año,trimestre,ingresos(milesDePesos),bandaAnchaFija,dialUp,hasta512Kbps,entre512KbpsY1Mbps,entre1MbpsY6Mbps,entre6MbpsY10Mbps,entre10MbpsY20Mbps,entre20MbpsY30Mbps,másDe30Mbps,otrosAccesosPorVelocidad,accesosPorCada100Hogares,accesosPorCada100Hab,adsl,cablemodem,fibraÓptica,wireless,otrosAccesosPorTecnologia,mbps(mediaDeBajada)
2014,1,0.0,0.0,0.8965670064432552,0.19915861005431332,1.0,0.9946019450538045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9650136088271973,0.0,0.002873128763950905,0.0,0.08828212369922472,0.0
2014,2,0.001033618407590321,0.012591327098609995,0.8914192206729623,0.14992924868029725,0.9526458887752657,0.9990989635631874,0.05491496635991594,0.023460568593158995,7.877266268775882e-05,7.950097334813661e-05,0.0,0.010755356159442009,0.011684327381698889,0.9689151471546275,0.014822306889945014,0.0026254452498172057,0.003136761672409172,0.08457645430938071,0.001044657421820805
2014,3,0.0017827001260121728,0.03748743881024974,0.8869191695360175,0.13453342258449913,0.8792273683124513,1.0000000000000002,0.08805094592799673,0.04136128848578517,9.594865680764606e-05,9.925648630362241e-05,0.0,0.03839081008031009,0.03887771764642167,0.9708573313491048,0.04433544566208847,0.004207265692685647,0.027175796928776946,0.07462990693178156,0.0018455909573136982
2014,4,0.003483289160373911,0.037469945838336294,1.0,0.16268566925664513,0.798406306801113,0.9839336549821157,0.21656516596227998,0.08903434741936796,0.002384501804367796,0.00043510020654688106,0.0,0.03250958701092421,0.035377491819985174,0.9871271688191275,0.0351570171648532,0.0027077484175345445,0.01181021076538119,0.08185169740508369,0.003982511268368214
2015,1,0.006820807142977217,0.06419274212792492,0.9554767667814408,0.15032748964149842,0.7410096829303078,0.9925328033942228,0.2953905816131553,0.12556178061577256,0.0043224277616185245,0.0005689587731179909,0.0,0.06198043702643696,0.0643877637196304,0.9845236118022195,0.0711705312681391,0.007482364159782699,0.01581450676506299,0.05565612146255472,0.00540940420701479
2015,2,0.0061914901806658425,0.08008187471419426,0.7813043330037841,0.14848456604445048,0.7156052665916146,0.9964998827929564,0.3725959602615068,0.16860281856265508,0.0057450738952726345,0.0008302104656565969,0.0,0.07546453293377642,0.07876158869349004,0.9883762818432192,0.09518681452967948,0.003006258652797765,0.02145726825184255,0.023015903102905744,0.006848926677483647
2015,3,0.007820513378453292,0.1027063719100898,0.7776224729826475,0.12436556825595878,0.6482435085525977,0.9846907774967141,0.43089951273386734,0.22282456176027982,0.007555068310113167,0.0010873913252225575,0.0,0.0992798234626262,0.10268952171039514,0.9952690215677541,0.1180746494363486,0.006056893935211152,0.026103691188086364,0.022158197016509618,0.008645757842382928
2015,4,0.008624882926050815,0.11221760496496169,0.7687928271912181,0.12103135935739161,0.6051801097864051,0.9757895731214511,0.4576243710459959,0.2734595517956644,0.010200763680235111,0.0012661487848743172,0.0,0.10513383917625863,0.11012366655531225,0.9999999999999999,0.13390156722573543,0.0,0.0283691301737152,0.020698675057338356,0.010132760420119399
2016,1,0.010643177443610959,0.09746551555305838,0.7725428698053387,0.10486870758098273,0.5709150991203129,0.9512327731886264,0.495546205567949,0.27479918249481433,0.0161803787365931,0.0014110225465478797,0.0,0.07836751469445047,0.08744425862719196,0.9965227572675891,0.10884303084261837,0.006497564187440692,0.02769480218133738,0.021148852285004793,0.010820806600592228
2016,2,0.012796458610542393,0.13984794424305336,0.7665087103262538,0.16240181665664005,0.5396769524410634,0.9778517173455928,0.5311043966904809,0.3480660511652499,0.04361044134605305,0.0020863018984808484,0.0,0.12937420577453995,0.13565315370883302,0.9930861280434954,0.1712835670424342,0.007379162695560326,0.027850124921154767,0.024555983092291067,0.013328162865722224
