provincia,partido,localidad,linkIndec,otros,"0,256Mbps","0,5Mbps","0,512Mbps","0,75Mbps",1Mbps,"1,5Mbps",2Mbps,"2,2Mbps","2,5Mbps",3Mbps,"3,3Mbps","3,5Mbps",4Mbps,"4,5Mbps",5Mbps,6Mbps,"6,4Mbps",7Mbps,"7,5Mbps",8Mbps,9Mbps,10Mbps,"10,1Mbps","10,2Mbps",11Mbps,12Mbps,"12,3Mbps",13Mbps,14Mbps,15Mbps,16Mbps,17Mbps,18Mbps,20Mbps,"20,5Mbps",21Mbps,22Mbps,23Mbps,24Mbps,25Mbps,"25,1Mbps","25,5Mbps",26Mbps,27Mbps,30Mbps,31Mbps,32Mbps,35Mbps,36Mbps,40Mbps,41Mbps,45Mbps,48Mbps,49Mbps,50Mbps,"50,1Mbps","50,25Mbps",51Mbps,55Mbps,59Mbps,60Mbps,61Mbps,65Mbps,66Mbps,70Mbps,75Mbps,80Mbps,85Mbps,90Mbps,95Mbps,98Mbps,100Mbps,"100,1Mbps","100,25Mbps",105Mbps,110Mbps,120Mbps,122Mbps,125Mbps,130Mbps,140Mbps,150Mbps,155Mbps,160Mbps,164Mbps,165Mbps,180Mbps,200Mbps,205Mbps,212Mbps,220Mbps,225Mbps,240Mbps,246Mbps,250Mbps,256Mbps,275Mbps,300Mbps,320Mbps,325Mbps,330Mbps,350Mbps,400Mbps,450Mbps,480Mbps,500Mbps,512Mbps,520Mbps,540Mbps,600Mbps,680Mbps,700Mbps,800Mbps,850Mbps,900Mbps,999Mbps,1000Mbps,1024Mbps,4000Mbps,10000Mbps,totalAccesos
BUENOS AIRES,Mar Chiquita,Mar de Cobo,6518050.0,166.0,,,,,,,,,,,,25.0,,,,,,,,83.0,,1045.0,,,,,,,,72.0,,,,139.0,,,,,,,,,,,87.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1619.0
BUENOS AIRES,Mar Chiquita,Santa Clara del Mar,6518060.0,150.0,,,,,,,,,,2257.0,,,,,,1208.0,,,,,192.0,,,,,99.0,,,,,,,,97.0,,,,,,801.0,,,,,,,,,,,,,,,602.0,,,,,,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5675.0
BUENOS AIRES,Mar Chiquita,Vivoratá,6518070.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.0
BUENOS AIRES,Marcos Paz,Marcos Paz,6525020.0,16.0,,1.0,,28.0,22.0,,64.0,,,329.0,,419.0,,,205.0,12.0,,,,877.0,,68.0,,,,,,,,628.0,5.0,,,,,,,,38.0,,,,,,2.0,,16.0,,,524.0,,,25.0,,438.0,,,,,,35.0,,,,,,5283.0,,,,,22.0,,,,,,,,,,341.0,,1038.0,,,,,,,,,882.0,,,,,249.0,24.0,,,,,,,69.0,,,,,,,,,,,99.0,,,,11759.0
BUENOS AIRES,Mercedes,Gowland,6532010.0,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0
BUENOS AIRES,Mercedes,Jorge Born,6532030.0,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
BUENOS AIRES,Mercedes,Mercedes,6532020.0,1.0,,7.0,,44.0,,,102.0,,,46.0,,527.0,,,,215.0,,970.0,,400.0,,731.0,,,,,,,,256.0,8.0,,,2919.0,,,,,,,,,,,3246.0,,,,,,,,,,394.0,,,,,,,,,,,,,,,,,813.0,,,,,,,,,,,,,,,,,,,,,,,,,,552.0,,,,,,,,68.0,,,,,,,,,,,25.0,,,,11324.0
BUENOS AIRES,Merlo,Libertad,6539010.0,14.0,,1.0,,4.0,3.0,,1587.0,,,8.0,,29.0,,,10.0,123.0,,,,39.0,,347.0,,,,,,,1.0,62.0,,,,11.0,,,,,,4.0,,,,,14607.0,,,,,,,,,,110.0,,,,,,544.0,,,,,13.0,,,,,,373.0,,,,,,,,,,5218.0,,,,,,,,,,,,,,,,4776.0,,,,,,,,1062.0,,,,,,,,,,,1481.0,,,,30427.0
BUENOS AIRES,Merlo,Mariano Acosta,6539010.0,1.0,,,,,113.0,,323.0,,,846.0,,,,,493.0,28.0,,,,57.0,,815.0,,,,,,,,,,,,12.0,,,,,,,,,,,14.0,,,,,,,,,,7440.0,,,,,,426.0,,,,,2.0,214.0,,,,,329.0,,,,,,,,,,3242.0,,,,,,,,,,,,,,,,2993.0,,,,,,,,575.0,,,,,,,,,,,1029.0,,,,18952.0
BUENOS AIRES,Merlo,Merlo,6539010.0,28.0,,8.0,,26.0,11.0,,277.0,,,62.0,,128.0,,,390.0,778.0,,,,75.0,,706.0,,,,,,,,100.0,,,,31.0,,,,,,4.0,,,,,23852.0,,,,,,,,,,1069.0,,,,,,1487.0,,,,,16.0,7.0,,,,,2742.0,,,,,,,,,,13895.0,,,,,,,,,,,,,,,,15287.0,,,,,,,,2820.0,,,,,,,,,,,4011.0,,,,67810.0
BUENOS AIRES,Merlo,Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
BUENOS AIRES,Merlo,Pontevedra,6539010.0,,,,,5.0,,,,,,,,169.0,,,2.0,,,,,249.0,,174.0,,,,,,,,1420.0,,,,,,,,,,1681.0,,,,,1.0,,,,,,,,,,598.0,,,,,,194.0,,,,585.0,4.0,,,,,,78.0,,,4.0,,,,,,,1578.0,,,,,,,,,,,,,,,,1651.0,,,,,,,,329.0,,,,,,,,,,,388.0,,,,9110.0
BUENOS AIRES,Merlo,San Antonio De Padua,6539010.0,30.0,,4.0,,2.0,2.0,,92.0,,,3.0,,5.0,,,4.0,328.0,,,,3.0,,78.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,6105.0,,,,,,,,,,177.0,,,,,,96.0,,,,,2.0,,,,,,1770.0,,,,,,,,,,1467.0,,,,,,,,,,,,,,,,2708.0,,,,,,,,498.0,,,,,,,,,,,581.0,,,,13961.0
BUENOS AIRES,Monte,Abbott,6547010.0,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0
BUENOS AIRES,Monte,San Miguel del Monte  (Est. Monte),6547020.0,1.0,,,,,31.0,,208.0,,21.0,,,12.0,,,783.0,184.0,,,,6.0,,2142.0,,,,,,,8.0,29.0,,,,1084.0,,,,,,,,,,,,,,,,,,,,,1166.0,,,,,,,,,,,,,,,,,1348.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,466.0,,,,,,,,12.0,16.0,,,,,,,,,,2.0,,,,7520.0
BUENOS AIRES,Monte Hermoso,Balneario Sauce Grande,6553010.0,,,,,,,,,,,,,,,,,30.0,,,,,,501.0,,,,,,,,,,,,47.0,,,,,,,,,,,98.0,,,,,97.0,,,,,47.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.0
BUENOS AIRES,Monte Hermoso,Monte Hermoso,6553020.0,,,,,,,,,,,40.0,,,,,7.0,617.0,,,,,,3576.0,,,,1.0,,,,1.0,,,,449.0,,,,,,1.0,,,,,861.0,,,2.0,,186.0,,,,,369.0,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6164.0
BUENOS AIRES,Moreno,Cuartel V,6560010.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,14.0,,,,,,,,,,,1.0,,,,,,,,,,804.0,,,,,,243.0,,,,,,,,,,,1.0,,,,,,,,,,560.0,,,,,,,,,,,,,,,,414.0,,,,,,,,36.0,,,,,,,,,,,428.0,,,,2502.0
BUENOS AIRES,Moreno,Francisco Alvarez,6560010.0,1.0,,,,45.0,,,,,,,,465.0,,,62.0,,,,,221.0,,184.0,,,,,,,,252.0,,,,141.0,,,,,,,,,,,597.0,,,,,280.0,,,,,304.0,,,,,,87.0,,,,,,,,,,,760.0,,,,,,,,,,1228.0,,,,,,43.0,,,,,,,,,,2052.0,,,,,,,,354.0,,,,,,,,,,,755.0,,,,7831.0
BUENOS AIRES,Moreno,La Reja,6560010.0,,,,1.0,5.0,,,,,,,,47.0,,,228.0,,,,,11.0,,481.0,,,,,,,,3.0,,,,419.0,,,,,,1.0,,,,,51.0,,,,,796.0,,,,,955.0,,,,,,238.0,,,,,4.0,,,,,,122.0,,,,,,,,,,2237.0,,,,,,14.0,,,,,,,,,,2137.0,,,,,,,,392.0,,,,,,,,,,,716.0,,,,8858.0
BUENOS AIRES,Moreno,Moreno,6560010.0,74.0,,8.0,1.0,43.0,6.0,,554.0,,,263.0,,276.0,,,650.0,1191.0,,,,107.0,,4484.0,,,,,,,,35.0,,,,16182.0,,,,,,3.0,,,,,17498.0,,,,,421.0,,,,,3547.0,,,,,,951.0,,,,,8.0,,,,,,2611.0,,,,,,,,,,9453.0,,,,,,1.0,,,,,,,,,,10772.0,,,,,,,,1911.0,,,,,,,,,,,2707.0,,,,73757.0
BUENOS AIRES,Moreno,Paso Del Rey,6560010.0,,,3.0,,,,,,,,,,,,,3.0,9.0,,,,,,103.0,,,,,,,1.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,870.0,,,,,,323.0,,,,,1.0,,,,,,877.0,,,,,,,,,,3043.0,,,,,,4.0,,,,,,,,,,3890.0,,,,,,,,539.0,,,,,,,,,,,1345.0,,,,11021.0
BUENOS AIRES,Moreno,Trujui,6560010.0,,,2.0,,14.0,,,,,,1.0,,149.0,,,2.0,1.0,,,,50.0,,650.0,,,,,,,,31.0,,,,,,,,,,758.0,,,,,9221.0,,,,,,,,,,1900.0,,,,,,333.0,,,,,4.0,,,,,,132.0,,,,,,,,,,1795.0,,,,,,21.0,,,,,,,,,,1680.0,,,,,,,,300.0,,,,,,,,,,,953.0,,,,17997.0
BUENOS AIRES,Morón,Castelar,6568010.0,1.0,,,,,21.0,,7.0,,,4.0,,5.0,,,9.0,97.0,,,,5.0,,229.0,,,,,,,2.0,2.0,,,,33.0,,,,,,41.0,,,,,23.0,,,,,,,,,,8955.0,,,,,,314.0,,,,,13.0,,,,,,6606.0,,,,,,,,,,3239.0,,,,,,,,,,,,,,,,8830.0,,,,,,,,1140.0,,,,156.0,,,,,,,1332.0,,,,31064.0
BUENOS AIRES,Morón,El Palomar,6568010.0,,,4.0,,,14.0,,,,,2.0,,,,,3.0,19.0,,,,3.0,,130.0,,,,,,,2.0,,,,,34.0,,,,,,,,,,,,,,,,,,,,,3780.0,,,,,,119.0,,,,,2.0,,,,,,3529.0,,,,,,,,,,1459.0,,,,,,,,,,,,,,,,4267.0,,,,,,,,613.0,,,,61.0,,,,,,,606.0,,,,14647.0
BUENOS AIRES,Morón,Haedo,6568010.0,3.0,,8.0,,30.0,6.0,,,,,1.0,,67.0,,,10.0,36.0,,,,60.0,,162.0,,,,,,,,126.0,,,,38.0,,,,,,20.0,,,,,9408.0,,,,,,,,,,3412.0,,,,,,115.0,,,,,9.0,,,,,,3512.0,,,,,,,,,,1225.0,,,,,,,,,,,,,,,,4657.0,,,,,,,,623.0,,,,81.0,,,,,,,544.0,,,,24153.0
BUENOS AIRES,Morón,Moron,6568010.0,10.0,,18.0,3.0,69.0,22.0,,3.0,,,9.0,,213.0,,,19.0,15.0,,,,149.0,,296.0,,,,,,,,453.0,,,,74.0,,,,,,45.0,,,,,7064.0,,,,,,,,,,9637.0,,,,,,388.0,,,,,9.0,,,,,,7382.0,,,,,,,,,,3877.0,,,,,,1.0,,,,,,,,,,9527.0,,,,,,,,1163.0,,,,160.0,,,,,,,1479.0,,,,42085.0
BUENOS AIRES,Morón,Villa Sarmiento,6568010.0,,,,,3.0,1.0,,2.0,,,,,8.0,,,1.0,87.0,,,,10.0,,107.0,,,,,,,1.0,1.0,,,,7.0,,,,,,5.0,,,,,3444.0,,,,,,,,,,1209.0,,,,,,71.0,,,,,4.0,,,,,,1521.0,,,,,,,,,,631.0,,,,,,,,,,,,,,,,2102.0,,,,,,,,333.0,,,,33.0,,,,,,,252.0,,,,9833.0
BUENOS AIRES,Navarro,José Juan Almeyra,6574010.0,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
BUENOS AIRES,Navarro,Las Marianas,6574020.0,,,,,,,,,,,,,,,,,135.0,,,,9.0,,13.0,,,,49.0,,,,7.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.0
BUENOS AIRES,Navarro,Navarro,6574030.0,1919.0,,1.0,,,,,,,,,,53.0,,,,104.0,,,,100.0,,17.0,,,,24.0,,,,242.0,,,,,,,,,,,,,,,,,,,,,,,,,1653.0,,,,,,,,,,31.0,,,,,,,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,4554.0
BUENOS AIRES,Navarro,Villa Moll  (Est. Moll),6574040.0,,,,,,,,,,,,,,7.0,,,102.0,,,,26.0,,15.0,,,,16.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0
BUENOS AIRES,Necochea,Claraz,6581010.0,,,,,,,,101.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0
BUENOS AIRES,Necochea,Energía,6581025.0,,,,,,,,,,,1.0,,,,,11.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
BUENOS AIRES,Necochea,Juan N. Fernández,6581030.0,,,2.0,,,,,575.0,,,60.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.0
BUENOS AIRES,Necochea,Necochea - Quequén,6581040.0,,,1.0,,113.0,1.0,,,,,63.0,,960.0,,,1512.0,176.0,,1740.0,,1059.0,,169.0,,,,133.0,,,,2269.0,,,860.0,285.0,,,,,,886.0,,,,,511.0,,,,,,,,,,2301.0,,,,,,,,,,,,,,,,,9518.0,,,,,,,,,,,,,,,,,,,,,,,,,,3995.0,,,,,,,,322.0,,,,,,,,,,,1.0,,,,26875.0
BUENOS AIRES,Necochea,Nicanor Olivera  (Est. La Dulce),6581050.0,,,,,,193.0,,22.0,,,308.0,,,,,115.0,,,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.0
BUENOS AIRES,Necochea,Otros,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
BUENOS AIRES,Olavarría,Hinojo,6595060.0,,,1.0,,,,,,,,1.0,,,,,,,,,,6.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0
BUENOS AIRES,Olavarría,Olavarría,6595070.0,7.0,,5.0,,5.0,,,1.0,,,89.0,,227.0,,,512.0,,,,,470.0,,1004.0,,,,,,,,805.0,,,,30.0,,,,,,,,,,,10.0,,,,,,,,,,1491.0,,,,,,,,,,,,,,,,,12435.0,,,,,,,,,,,,,,,,,,,,,,,,,,9116.0,,,,,,,,409.0,,,,,,,,,,,32.0,,,,26648.0
BUENOS AIRES,Olavarría,Sierra Chica,6595100.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,,,,,2.0,,,,,,,,,,,,,,,569.0
BUENOS AIRES,Olavarría,Sierras Bayas,6595110.0,,,,,,,,,,,,,28.0,,,,,,,,90.0,,,,,,,,,,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.0
BUENOS AIRES,Olavarría,Villa Alfredo Fortabat,6595120.0,,,,,,,,,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.0
BUENOS AIRES,OTROS,Otros,,87722.0,,24968.0,,,8.0,,,,,5.0,,6.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,,,,117713.0
BUENOS AIRES,Patagones,Bahía San Blas,6602010.0,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
BUENOS AIRES,Patagones,Carmen de Patagones,6602030.0,,,1.0,,6.0,,,,,,3.0,,159.0,,,,,,3.0,,376.0,,4.0,,,,,,,5.0,575.0,,,,,,,,,,,,,,,4159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5291.0
BUENOS AIRES,Patagones,José B. Casas,6602040.0,,,,,,,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
BUENOS AIRES,Patagones,Juan A. Pradere,6602050.0,,,,,,,,2.0,,,,,,2.0,,,44.0,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0
BUENOS AIRES,Patagones,Stroeder,6602060.0,,,,,,,,11.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.0
BUENOS AIRES,Patagones,Villalonga,6602070.0,,,,,,,,71.0,,,,,3.0,76.0,,,,,,,9.0,,201.0,,,,,,,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.0
BUENOS AIRES,Pehuajó,Capitán Castro,6609010.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
BUENOS AIRES,Pehuajó,Chiclana,6609080.0,,,,,,6.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
BUENOS AIRES,Pehuajó,Francisco Madero,6609030.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
BUENOS AIRES,Pehuajó,Inocencio Sosa,6609035.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
BUENOS AIRES,Pehuajó,Juan José Paso,6609040.0,10.0,,,,,,,272.0,,,72.0,,,31.0,,,16.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.0
BUENOS AIRES,Pehuajó,Magdala,6609050.0,,,,,,4.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
BUENOS AIRES,Pehuajó,Mones Cazón,6609060.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
BUENOS AIRES,Pehuajó,Nueva Plata,6609070.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
BUENOS AIRES,Pehuajó,Pehuajó,6609080.0,164.0,,,,20.0,1.0,,,,,152.0,,758.0,,,624.0,,,,,1391.0,,294.0,,,,,,,,1226.0,,,,1.0,,,,,,,,,,,4.0,,,,,1258.0,,,,,755.0,,,,,,,,,,502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7150.0
BUENOS AIRES,Pehuajó,San Bernardo  (Est. Guanaco),6609090.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
BUENOS AIRES,Pehuajó,San Esteban,6609020.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
BUENOS AIRES,Pellegrini,Bocayuva,6616010.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
BUENOS AIRES,Pellegrini,Pellegrini,6616030.0,,,1.0,,,,,3.0,,,,,14.0,,,,32.0,,,,56.0,,,,,,,,,,241.0,,,,,,,,,,1101.0,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1505.0
BUENOS AIRES,Pergamino,Acevedo,6623010.0,110.0,,,,,,,,,,5.0,,,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.0
BUENOS AIRES,Pergamino,Fontezuela,6623020.0,,,,,,19.0,,,,,2.0,,,,,,104.0,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0
BUENOS AIRES,Pergamino,Guerrico,6623030.0,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0
BUENOS AIRES,Pergamino,Juan A. de la Peña,6623040.0,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0
BUENOS AIRES,Pergamino,Juan Anchorena  (Est. Urquiza),6623050.0,,,,,,44.0,,,,,3.0,,,,,,268.0,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.0
BUENOS AIRES,Pergamino,La Violeta,6623060.0,,,,,,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.0
BUENOS AIRES,Pergamino,Manuel Ocampo,6623070.0,,,,,,,,,,,,,,,,374.0,,,,,,,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0
BUENOS AIRES,Pergamino,Mariano H. Alfonzo  (Est. San Patricio),6623090.0,,,1.0,,,,,,,,,,,,,292.0,,,3.0,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.0
