año,trimestre,provincia,mbps(mediaDeBajada),Periodo
2015,1,Río Negro,3.585297088257377,2015T1
2015,1,Salta,4.022777936163619,2015T1
2015,1,San Juan,3.4769891700932414,2015T1
2015,1,San Luis,3.5009942704654264,2015T1
2015,1,Santa Cruz,3.474217030667377,2015T1
2015,1,Santa Fe,4.063283068408137,2015T1
2015,1,Santiago Del Estero,3.571104125126239,2015T1
2015,1,Tierra Del Fuego,3.4538780857514078,2015T1
2015,1,Tucumán,4.071078040242438,2015T1
2015,2,Buenos Aires,4.463495663548014,2015T2
2015,2,Capital Federal,5.31214873823781,2015T2
2015,2,Catamarca,3.6825082950385544,2015T2
2015,2,Chaco,5.194771414259476,2015T2
2015,2,Chubut,3.2165716474851154,2015T2
2015,2,Córdoba,4.557937666200854,2015T2
2015,2,Corrientes,4.847197637993736,2015T2
2015,2,Entre Ríos,4.55056996750087,2015T2
2015,2,Formosa,3.7649156840276494,2015T2
2015,2,Jujuy,3.4086788431460913,2015T2
2015,2,La Pampa,2.8626566401062417,2015T2
2015,2,La Rioja,4.001551396208129,2015T2
2015,2,Mendoza,3.4997241088624933,2015T2
2015,2,Misiones,5.327562649676923,2015T2
2015,2,Neuquén,4.059617737533036,2015T2
2015,2,Río Negro,3.666734448621427,2015T2
2015,2,Salta,4.218121645686839,2015T2
2015,2,San Juan,3.4789192890667078,2015T2
2015,2,San Luis,3.5027709531013613,2015T2
2015,2,Santa Cruz,3.47332349743749,2015T2
2015,2,Santa Fe,4.303196181656382,2015T2
2015,2,Santiago Del Estero,3.728811295360471,2015T2
2015,2,Tierra Del Fuego,3.4775158762886598,2015T2
2015,2,Tucumán,4.306812767469965,2015T2
2015,3,Buenos Aires,4.700597914270459,2015T3
2015,3,Capital Federal,5.66468043459464,2015T3
2015,3,Catamarca,3.884563872599747,2015T3
2015,3,Chaco,5.46643296553986,2015T3
2015,3,Chubut,3.2790384114749496,2015T3
2015,3,Córdoba,4.867849001225086,2015T3
2015,3,Corrientes,5.063473816782213,2015T3
2015,3,Entre Ríos,4.766712366729086,2015T3
2015,3,Formosa,4.166164102194515,2015T3
2015,3,Jujuy,3.532724551201011,2015T3
2015,3,La Pampa,2.9149322141427945,2015T3
2015,3,La Rioja,4.245850575398008,2015T3
2015,3,Mendoza,3.500160951021911,2015T3
2015,3,Misiones,5.634289050903693,2015T3
2015,3,Neuquén,4.2299439848957405,2015T3
2015,3,Río Negro,3.7368314562024914,2015T3
2015,3,Salta,4.4218314129775615,2015T3
2015,3,San Juan,3.4810928203738825,2015T3
2015,3,San Luis,3.5027538715982556,2015T3
2015,3,Santa Cruz,3.4806877443585873,2015T3
2015,3,Santa Fe,4.559895452402629,2015T3
2015,3,Santiago Del Estero,3.911237321691457,2015T3
2015,3,Tierra Del Fuego,3.4777210569327157,2015T3
2015,3,Tucumán,4.572318667230303,2015T3
2015,4,Buenos Aires,4.884148905856541,2015T4
2015,4,Capital Federal,5.927803522979041,2015T4
2015,4,Catamarca,4.124268369158702,2015T4
2015,4,Chaco,5.828384180790961,2015T4
2015,4,Chubut,3.283865031613298,2015T4
2015,4,Córdoba,5.0670814932684065,2015T4
2015,4,Corrientes,5.259482120492081,2015T4
2015,4,Entre Ríos,5.007855905299356,2015T4
2015,4,Formosa,4.660308568580684,2015T4
2015,4,Jujuy,3.7246804758922987,2015T4
2015,4,La Pampa,2.936747707229629,2015T4
2015,4,La Rioja,4.521671863926294,2015T4
2015,4,Mendoza,3.5017779300891023,2015T4
2015,4,Misiones,5.9022914436487,2015T4
2015,4,Neuquén,4.355592861552936,2015T4
2015,4,Río Negro,3.768932299598505,2015T4
2015,4,Salta,4.673467038141578,2015T4
2015,4,San Juan,3.481604116955732,2015T4
2015,4,San Luis,3.502937425860024,2015T4
2015,4,Santa Cruz,3.4809679619106126,2015T4
2015,4,Santa Fe,4.809873774553555,2015T4
2015,4,Santiago Del Estero,4.0941016914507635,2015T4
2015,4,Tierra Del Fuego,3.4748248642417257,2015T4
2015,4,Tucumán,4.882297946330778,2015T4
2016,1,Buenos Aires,4.9921684374839135,2016T1
2016,1,Capital Federal,6.047403702811701,2016T1
2016,1,Catamarca,4.203588449295134,2016T1
2016,1,Chaco,5.991472683208309,2016T1
2016,1,Chubut,3.3796639330714164,2016T1
2016,1,Córdoba,5.156801617049669,2016T1
2016,1,Corrientes,5.37127911707625,2016T1
2016,1,Entre Ríos,5.084574905605243,2016T1
2016,1,Formosa,4.872333380420963,2016T1
2016,1,Jujuy,3.7712213425983374,2016T1
2016,1,La Pampa,3.0476420362792593,2016T1
2016,1,La Rioja,4.616973938050446,2016T1
2016,1,Mendoza,3.5028689229788785,2016T1
2016,1,Misiones,6.000968717380309,2016T1
2016,1,Neuquén,4.420493149015266,2016T1
2016,1,Río Negro,3.826659196828916,2016T1
2016,1,Salta,4.741858784571524,2016T1
2016,1,San Juan,3.485523490760477,2016T1
2016,1,San Luis,3.5029004392386534,2016T1
2016,1,Santa Cruz,3.48315808971074,2016T1
2016,1,Santa Fe,4.898136028952046,2016T1
2016,1,Santiago Del Estero,4.174011564306923,2016T1
2016,1,Tierra Del Fuego,3.475082632716791,2016T1
2016,1,Tucumán,5.004036640679885,2016T1
2016,2,Buenos Aires,5.415144367004824,2016T2
2016,2,Capital Federal,6.576218932459292,2016T2
2016,2,Catamarca,4.3648359645166135,2016T2
2016,2,Chaco,6.297357510958081,2016T2
2016,2,Chubut,3.335973498985547,2016T2
2016,2,Córdoba,5.516912823002807,2016T2
2016,2,Corrientes,5.601822569524247,2016T2
2016,2,Entre Ríos,5.1311427833012475,2016T2
2016,2,Formosa,5.104132195866278,2016T2
2016,2,Jujuy,3.843353043958065,2016T2
2016,2,La Pampa,3.146067806525381,2016T2
2016,2,La Rioja,4.773843067001075,2016T2
2016,2,Mendoza,3.500168567871608,2016T2
2016,2,Misiones,6.233660566754793,2016T2
2016,2,Neuquén,4.86640695565863,2016T2
2016,2,Río Negro,3.976616411905147,2016T2
2016,2,Salta,4.749378935322928,2016T2
2016,2,San Juan,3.4883718294284334,2016T2
2016,2,San Luis,3.501983369175627,2016T2
2016,2,Santa Cruz,3.5021150276004565,2016T2
2016,2,Santa Fe,5.1385985309185065,2016T2
2016,2,Santiago Del Estero,4.309815179590645,2016T2
2016,2,Tierra Del Fuego,3.478692463211772,2016T2
2016,2,Tucumán,5.200979761760874,2016T2
2016,3,Buenos Aires,5.914918008163684,2016T3
2016,3,Capital Federal,7.380172699207805,2016T3
2016,3,Catamarca,4.725241179958494,2016T3
2016,3,Chaco,6.718220363245951,2016T3
2016,3,Chubut,3.3438663279846357,2016T3
2016,3,Córdoba,6.068526923518407,2016T3
2016,3,Corrientes,5.958192561066714,2016T3
2016,3,Entre Ríos,5.586427488329489,2016T3
2016,3,Formosa,5.4161310069990956,2016T3
2016,3,Jujuy,4.215291130909006,2016T3
2016,3,La Pampa,3.1449984261882276,2016T3
2016,3,La Rioja,5.076731739002066,2016T3
2016,3,Mendoza,3.50729080145311,2016T3
2016,3,Misiones,6.741222269842242,2016T3
2016,3,Neuquén,5.292166864731292,2016T3
2016,3,Río Negro,4.162924282482748,2016T3
2016,3,Salta,5.052874436550483,2016T3
2016,3,San Juan,3.4890674462877342,2016T3
2016,3,San Luis,3.5030237740401673,2016T3
2016,3,Santa Cruz,3.53583356483625,2016T3
2016,3,Santa Fe,5.6772637615647845,2016T3
2016,3,Santiago Del Estero,4.670123087013555,2016T3
2016,3,Tierra Del Fuego,3.4765453774624797,2016T3
2016,3,Tucumán,5.544683260191403,2016T3
2016,4,Buenos Aires,6.3515464502603125,2016T4
2016,4,Capital Federal,7.957596242752894,2016T4
2016,4,Catamarca,4.885711305119858,2016T4
2016,4,Chaco,7.077531005919823,2016T4
2016,4,Chubut,3.4071912914448172,2016T4
2016,4,Córdoba,6.4667403639056085,2016T4
2016,4,Corrientes,6.236245604077509,2016T4
2016,4,Entre Ríos,5.807350829127614,2016T4
2016,4,Formosa,5.630674164916322,2016T4
2016,4,Jujuy,4.323962745742035,2016T4
2016,4,La Pampa,3.1895597297497957,2016T4
2016,4,La Rioja,5.3437624272142195,2016T4
2016,4,Mendoza,3.5066034697453756,2016T4
